id,texto,sentimiento,categoria,fecha,dia_semana,hora_aproximada,es_fin_de_semana,calificacion,canal,precio_rango,tiempo_desde_compra_dias,tema_principal,longitud_caracteres,num_palabras,tiene_mayusculas_excesivas,num_signos_exclamacion,tiempo_respuesta_horas,fue_respondido,resolucion,prioridad,requiere_atencion_inmediata,confianza_modelo,requiere_revision_humana
32,Experiencia frustrante,Negativo,Delivery,2024-08-02,Friday,Mañana,False,1,Teléfono,Premium,82,Atención,22,2,False,0,,False,N/A,Media,False,0.72,True
33,No lo recomiendo PARA nada,Negativo,E-commerce,2025-11-03,Monday,Noche,False,2,Web,Premium,73,Precio,26,5,False,0,65.0,True,En Proceso,Media,False,0.89,False
34,"Muy recomendable, sin dudas. Me encanta, es perfecto",Positivo,E-commerce,2024-11-16,Saturday,Mañana,True,5,Email,Premium,32,Precio,52,8,False,0,28.0,True,Resuelto,Baja,False,0.92,False
35,La mejor compra que he hecho,Positivo,Servicio,2024-07-25,Thursday,Mañana,False,4,Teléfono,Económico,28,Producto Defectuoso,28,6,False,0,,False,N/A,Baja,False,0.89,False
36,"Es lo que esperaba, nada más. Cumple su cometido",Neutro,Hotel,2024-12-25,Wednesday,Noche,False,3,Email,Medio,61,Precio,48,9,False,0,50.0,True,N/A,Baja,False,0.88,False
37,La calidad es excepcional,Positivo,Producto,2024-08-16,Friday,Noche,False,5,Tienda Física,Premium,39,Calidad,25,4,False,0,34.0,True,N/A,Baja,False,0.83,False
38,Pésima relación calidad-precio!,Negativo,Producto,2025-12-07,Sunday,Noche,True,1,Teléfono,Económico,117,Precio,31,3,False,1,,False,N/A,Media,False,0.88,False
39,Es correcto,Neutro,Banco,2025-02-08,Saturday,Tarde,True,3,Chat,Medio,74,Atención,11,2,False,0,,False,N/A,Baja,False,0.68,True
40,El servicio al cliente es terrible. Pésima relación calidad-precio,Negativo,Tienda Online,2024-11-04,Monday,Mañana,False,2,Tienda Física,Medio,101,Atención,66,9,False,0,109.0,True,No Resuelto,Media,False,0.96,False
41,Cumple sin destacar,Neutro,Tienda Online,2024-06-15,Saturday,Noche,True,3,Web,Económico,36,Calidad,19,3,False,0,,False,N/A,Baja,False,0.62,True
42,Está bien para el precio,Neutro,Servicio,2025-11-07,Friday,Tarde,False,3,Email,Económico,54,Precio,24,5,False,0,,False,N/A,Baja,False,0.7,True
43,Horrible experiencia. Llegó en malas condiciones!,Negativo,E-commerce,2023-12-25,Monday,Noche,False,1,Teléfono,Medio,112,Entrega,49,6,False,1,117.0,True,En Proceso,Alta,True,0.72,True
44,Cumple su cometido,Neutro,Delivery,2025-03-02,Sunday,Tarde,True,3,Teléfono,Premium,75,Calidad,18,3,False,0,,False,N/A,Baja,False,0.86,False
45,El servicio fue impecable. Me sorprendió gratamente,Positivo,Soporte Técnico,2024-01-28,Sunday,Tarde,True,5,Tienda Física,Medio,8,Atención,51,7,False,0,12.0,True,Resuelto,Baja,False,0.95,False
46,"Fantástico producto, lo amo",Positivo,E-commerce,2024-10-06,Sunday,Mañana,True,4,App Móvil,Medio,58,Producto Defectuoso,27,4,False,0,19.0,True,Resuelto,Baja,False,0.97,False
47,"No sirve para nada. Mala calidad, no vale la pena!",Negativo,Aplicación Móvil,2025-12-20,Saturday,Noche,True,2,Email,Premium,19,Precio,50,10,False,1,,False,N/A,Media,False,0.82,False
48,"Excelente servicio, muy recomendado",Positivo,Aplicación Móvil,2025-05-13,Tuesday,Tarde,False,5,Tienda Física,Premium,70,Atención,35,4,False,0,30.0,True,N/A,Baja,False,0.93,False
49,"Producto regular. Normal, como esperaba",Neutro,Delivery,2025-05-31,Saturday,Tarde,True,3,Teléfono,Premium,78,Calidad,39,5,False,0,,False,N/A,Baja,False,0.61,True
50,Está bien para el precio,Neutro,Restaurante,2024-09-01,Sunday,Noche,True,3,App Móvil,Económico,90,Precio,24,5,False,0,6.0,True,N/A,Baja,False,0.72,True
51,TERRIBLE experiencia de compra!,Negativo,Restaurante,2024-09-09,Monday,Mañana,False,1,App Móvil,Medio,110,Producto Defectuoso,31,4,False,1,77.0,True,No Resuelto,Alta,True,0.96,False
52,Cumple su cometido. Servicio estándar,Neutro,Servicio,2024-07-20,Saturday,Noche,True,3,Tienda Física,Económico,75,Atención,37,5,False,0,16.0,True,N/A,Baja,False,0.9,False
53,Producto defectuoso,Negativo,Aplicación Móvil,2024-10-14,Monday,Mañana,False,2,Email,Premium,67,Producto Defectuoso,19,2,False,0,73.0,True,No Resuelto,Alta,True,0.75,True
54,"Atención personalizada, me encantó. Quedé muy satisfecho con todo",Positivo,Restaurante,2025-08-08,Friday,Noche,False,4,Tienda Física,Económico,39,Atención,65,9,False,0,,False,N/A,Baja,False,0.8,False
55,"Es lo que esperaba, nada más",Neutro,Producto,2023-12-29,Friday,Tarde,False,3,Chat,Medio,56,Atención,28,6,False,0,,False,N/A,Baja,False,0.7,True
56,Todo llegó en perfectas condiciones,Positivo,Hotel,2025-04-02,Wednesday,Tarde,False,4,Chat,Premium,16,Entrega,35,5,False,0,40.0,True,N/A,Baja,False,0.8,False
57,Excelente relación calidad-precio. Producto sobresaliente,Positivo,Aplicación Móvil,2024-03-27,Wednesday,Tarde,False,5,Tienda Física,Premium,64,Calidad,57,5,False,0,34.0,True,N/A,Baja,False,0.85,False
58,Pésima atención al cliente!,Negativo,E-commerce,2024-09-26,Thursday,Tarde,False,2,Email,Medio,11,Atención,27,4,False,1,11.0,True,No Resuelto,Media,False,0.81,False
59,Todo salió perfecto. Superó todas mis expectativas,Positivo,Tienda Online,2024-11-23,Saturday,Mañana,True,5,App Móvil,Medio,28,Precio,50,7,False,0,43.0,True,Resuelto,Baja,False,0.76,True
60,"Producto genial, lo adoro. Muy buena calidad",Positivo,Hotel,2025-05-10,Saturday,Mañana,True,4,Chat,Premium,56,Calidad,44,7,False,0,36.0,True,Resuelto,Baja,False,0.97,False
61,Nada profesionales. Llegó roto y mal empaquetado!!,Negativo,Producto,2025-04-11,Friday,Tarde,False,2,Chat,Económico,88,Atención,50,7,False,2,81.0,True,No Resuelto,Alta,True,0.73,True
62,Mucho peor de lo esperado. No lo recomendaría jamás,Negativo,Banco,2024-01-03,Wednesday,Noche,False,1,App Móvil,Premium,33,Producto Defectuoso,51,9,False,0,,False,N/A,Alta,True,0.87,False
63,No RESOLVIERON mi problema,Negativo,Banco,2025-11-01,Saturday,Noche,True,1,Tienda Física,Económico,15,Entrega,26,4,True,0,,False,N/A,Alta,True,0.91,False
64,Una completa decepción!,Negativo,Banco,2025-03-23,Sunday,Mañana,True,1,Chat,Económico,108,Producto Defectuoso,23,3,False,1,88.0,True,En Proceso,Alta,True,0.8,False
65,Me arrepiento de haber comprado!!,Negativo,Hotel,2024-08-04,Sunday,Noche,True,1,Chat,Medio,106,Entrega,33,5,False,2,,False,N/A,Alta,True,0.74,True
66,Cumple lo básico. Es adecuado,Neutro,Restaurante,2024-03-26,Tuesday,Noche,False,3,Chat,Económico,68,Precio,29,5,False,0,,False,N/A,Baja,False,0.82,False
67,Calidad excepcional por el precio. Servicio inmejorable,Positivo,Soporte Técnico,2025-01-05,Sunday,Noche,True,4,App Móvil,Premium,21,Atención,55,7,False,0,,False,N/A,Baja,False,0.87,False
68,La calidad es excepcional. Ideal para lo que necesitaba,Positivo,E-commerce,2024-11-28,Thursday,Mañana,False,5,Web,Económico,59,Calidad,55,9,False,0,26.0,True,N/A,Baja,False,0.84,False
69,Pésima experiencia en general. Experiencia frustrante,Negativo,Delivery,2025-03-20,Thursday,Mañana,False,1,Tienda Física,Premium,112,Precio,53,6,False,0,,False,N/A,Media,False,0.95,False
70,Cumple su cometido. Es adecuado,Neutro,Delivery,2024-09-19,Thursday,Noche,False,3,Web,Premium,86,Atención,31,5,False,0,,False,N/A,Baja,False,0.71,True
71,Horrible experiencia,Negativo,E-commerce,2025-05-20,Tuesday,Mañana,False,2,App Móvil,Económico,13,Atención,20,2,False,0,,False,N/A,Media,False,0.86,False
72,No funciona bien. Malo en todos los aspectos!!,Negativo,Servicio,2025-08-28,Thursday,Noche,False,2,App Móvil,Medio,67,Producto Defectuoso,46,8,False,2,,False,N/A,Alta,True,0.92,False
73,Nada especial pero funciona,Neutro,Restaurante,2024-02-15,Thursday,Tarde,False,3,Tienda Física,Medio,73,Calidad,27,4,False,0,50.0,True,N/A,Baja,False,0.88,False
74,Totalmente decepcionante!,Negativo,Hotel,2025-07-07,Monday,Noche,False,1,App Móvil,Medio,74,Atención,25,2,False,1,54.0,True,Resuelto,Media,False,0.87,False
75,Definitivamente volveré a comprar,Positivo,Producto,2024-09-10,Tuesday,Mañana,False,5,App Móvil,Medio,41,Entrega,33,4,False,0,46.0,True,N/A,Baja,False,0.93,False
76,Es un producto promedio. Está bien para ocasional,Neutro,Tienda Online,2024-03-17,Sunday,Noche,True,3,App Móvil,Premium,8,Atención,49,8,False,0,,False,N/A,Baja,False,0.78,True
77,Quedé muy satisfecho con todo!,Positivo,Producto,2024-06-21,Friday,Mañana,False,5,Tienda Física,Premium,1,Atención,30,5,False,1,34.0,True,Resuelto,Baja,False,0.92,False
78,Servicio estándar,Neutro,Restaurante,2024-11-09,Saturday,Noche,True,3,Web,Medio,63,Atención,17,2,False,0,69.0,True,Resuelto,Baja,False,0.77,True
79,Producto sobresaliente,Positivo,Aplicación Móvil,2024-09-13,Friday,Noche,False,4,Tienda Física,Premium,24,Producto Defectuoso,22,2,False,0,30.0,True,Resuelto,Baja,False,0.76,True
80,No lo vuelvo a usar,Negativo,Tienda Online,2025-04-07,Monday,Mañana,False,1,Web,Premium,72,Entrega,19,5,False,0,22.0,True,No Resuelto,Alta,True,0.71,True
81,MUCHO peor de lo esperado,Negativo,Producto,2025-04-30,Wednesday,Mañana,False,1,Email,Económico,33,Atención,25,5,False,0,,False,N/A,Media,False,0.72,True
82,"Mala compra, no lo RECOMIENDO",Negativo,Banco,2024-07-04,Thursday,Mañana,False,1,Email,Medio,43,Producto Defectuoso,29,5,True,0,82.0,True,No Resuelto,Alta,True,0.78,True
83,Envío súper rápido,Positivo,Hotel,2024-06-01,Saturday,Tarde,True,4,Chat,Económico,79,Entrega,18,3,False,0,37.0,True,N/A,Baja,False,0.8,False
84,El personal fue muy grosero. El personal fue muy grosero!!,Negativo,Delivery,2025-05-13,Tuesday,Noche,False,1,Teléfono,Medio,88,Atención,58,10,False,2,103.0,True,No Resuelto,Alta,True,0.73,True
85,"Mala calidad, no VALE la pena",Negativo,Aplicación Móvil,2024-08-16,Friday,Tarde,False,1,Chat,Económico,118,Calidad,29,6,False,0,32.0,True,En Proceso,Media,False,0.82,False
86,Terrible experiencia de compra. No lo vuelvo a usar,Negativo,Hotel,2024-08-12,Monday,Mañana,False,2,Tienda Física,Económico,2,Producto Defectuoso,51,9,False,0,70.0,True,Resuelto,Alta,True,0.93,False
87,Atención de primera clase,Positivo,Restaurante,2025-06-17,Tuesday,Noche,False,4,Web,Premium,20,Atención,25,4,False,0,,False,N/A,Baja,False,0.76,True
88,"Es normal, nada extraordinario",Neutro,Aplicación Móvil,2025-01-28,Tuesday,Noche,False,3,Email,Premium,56,Producto Defectuoso,30,4,False,0,,False,N/A,Media,False,0.88,False
89,Nefasto servicio. Servicio lamentable,Negativo,Producto,2024-02-16,Friday,Mañana,False,1,Email,Económico,23,Atención,37,4,False,0,65.0,True,En Proceso,Media,False,0.81,False
90,"Excelente compra, totalmente recomendado. Calidad excepcional por el precio",Positivo,Tienda Online,2024-06-19,Wednesday,Noche,False,4,Email,Económico,4,Calidad,75,9,False,0,,False,N/A,Baja,False,0.83,False
91,Brillante servicio!,Positivo,Restaurante,2025-06-21,Saturday,Noche,True,4,Chat,Económico,11,Atención,19,2,False,1,41.0,True,Resuelto,Baja,False,0.76,True
92,No es como se DESCRIBE. Atención deplorable,Negativo,Producto,2025-05-10,Saturday,Noche,True,2,Tienda Física,Medio,81,Atención,43,7,False,0,114.0,True,En Proceso,Media,False,0.95,False
93,Estoy muy contento con el resultado. Muy buena calidad,Positivo,Aplicación Móvil,2024-02-17,Saturday,Noche,True,5,Tienda Física,Económico,26,Calidad,54,9,False,0,15.0,True,N/A,Baja,False,0.89,False
94,Servicio pasable. Servicio pasable,Neutro,Soporte Técnico,2025-08-13,Wednesday,Noche,False,3,Tienda Física,Premium,55,Atención,34,4,False,0,56.0,True,N/A,Baja,False,0.63,True
95,Está ok,Neutro,Tienda Online,2024-01-08,Monday,Noche,False,3,Tienda Física,Premium,47,Calidad,7,2,False,0,,False,N/A,Baja,False,0.71,True
96,Todo salió mal. No cumplieron con LO prometido,Negativo,Producto,2025-07-16,Wednesday,Noche,False,2,Email,Económico,91,Atención,46,8,False,0,,False,N/A,Media,False,0.75,True
97,"Excelente servicio, muy recomendado. Maravillosa experiencia",Positivo,Producto,2025-05-04,Sunday,Noche,True,4,App Móvil,Medio,48,Atención,60,6,False,0,8.0,True,Resuelto,Baja,False,0.79,True
98,Todo salió mal,Negativo,Tienda Online,2024-12-24,Tuesday,Tarde,False,2,Web,Medio,24,Atención,14,3,False,0,97.0,True,En Proceso,Media,False,0.75,True
99,Resolvieron mi problema rápidamente,Positivo,Hotel,2024-11-10,Sunday,Tarde,True,4,Web,Premium,61,Precio,35,4,False,0,,False,N/A,Baja,False,0.87,False
100,"Es normal, nada extraordinario. Cumple su cometido",Neutro,Soporte Técnico,2025-02-17,Monday,Tarde,False,3,App Móvil,Medio,65,Entrega,50,7,False,0,,False,N/A,Media,False,0.72,True
101,"Excelente servicio, muy recomendado",Positivo,Restaurante,2025-03-17,Monday,Tarde,False,4,Email,Premium,21,Atención,35,4,False,0,22.0,True,N/A,Baja,False,0.94,False
102,PÉSIMA relación calidad-precio. Experiencia frustrante,Negativo,Restaurante,2025-03-28,Friday,Noche,False,1,Tienda Física,Premium,106,Precio,54,5,False,0,52.0,True,En Proceso,Media,False,0.72,True
103,Mejor de lo que esperaba,Positivo,Hotel,2025-09-26,Friday,Noche,False,5,Tienda Física,Económico,75,Entrega,24,5,False,0,35.0,True,N/A,Baja,False,0.96,False
104,Atención lenta Y mala. Servicio lento y deficiente!,Negativo,Servicio,2024-02-06,Tuesday,Tarde,False,2,App Móvil,Económico,114,Atención,51,8,False,1,,False,N/A,Media,False,0.92,False
105,Precio estándar. Es adecuado,Neutro,E-commerce,2024-07-05,Friday,Mañana,False,3,Email,Premium,35,Precio,28,4,False,0,48.0,True,N/A,Baja,False,0.64,True
106,Servicio inmejorable. Maravillosa experiencia,Positivo,Producto,2024-08-07,Wednesday,Tarde,False,5,Chat,Premium,58,Atención,45,4,False,0,26.0,True,Resuelto,Baja,False,0.99,False
107,"Pésimo servicio, no lo recomiendo!",Negativo,Hotel,2024-08-15,Thursday,Tarde,False,1,Teléfono,Premium,82,Atención,34,5,False,1,,False,N/A,Media,False,0.89,False
108,No sirve para nada,Negativo,Tienda Online,2024-10-26,Saturday,Mañana,True,1,Web,Económico,55,Atención,18,4,False,0,13.0,True,Resuelto,Media,False,0.93,False
109,"Atención personalizada, me encantó!",Positivo,Aplicación Móvil,2024-07-17,Wednesday,Tarde,False,4,Teléfono,Económico,32,Atención,35,4,False,1,37.0,True,Resuelto,Baja,False,0.86,False
110,Estoy muy contento con el resultado,Positivo,Hotel,2025-12-04,Thursday,Mañana,False,4,Email,Económico,37,Atención,35,6,False,0,44.0,True,N/A,Baja,False,0.93,False
111,Servicio PÉSIMO e ineficiente,Negativo,Aplicación Móvil,2025-08-26,Tuesday,Mañana,False,1,Web,Económico,93,Atención,29,4,False,0,,False,N/A,Media,False,0.98,False
112,Increíblemente bueno. Muy buena calidad!,Positivo,Restaurante,2024-03-22,Friday,Tarde,False,4,App Móvil,Premium,89,Calidad,40,5,False,1,,False,N/A,Baja,False,0.8,False
113,Mucho peor de lo esperado. Quiero mi REEMBOLSO inmediatamente!,Negativo,Aplicación Móvil,2024-01-20,Saturday,Tarde,True,1,Web,Premium,55,Precio,62,9,False,1,,False,N/A,Media,False,0.97,False
114,Estoy muy contento con el resultado,Positivo,Banco,2025-02-27,Thursday,Mañana,False,4,Teléfono,Premium,12,Entrega,35,6,False,0,2.0,True,Resuelto,Baja,False,0.94,False
115,"Excelente compra, totalmente recomendado",Positivo,Restaurante,2024-09-21,Saturday,Mañana,True,5,Teléfono,Medio,24,Precio,40,4,False,0,36.0,True,Resuelto,Baja,False,0.83,False
116,Es suficiente,Neutro,Aplicación Móvil,2024-10-17,Thursday,Noche,False,3,Chat,Económico,16,Precio,13,2,False,0,,False,N/A,Baja,False,0.68,True
117,Servicio lamentable,Negativo,Servicio,2024-03-02,Saturday,Noche,True,2,Tienda Física,Económico,82,Atención,19,2,False,0,47.0,True,En Proceso,Media,False,0.74,True
118,Mucho peor de lo esperado,Negativo,Tienda Online,2024-04-20,Saturday,Mañana,True,1,Chat,Económico,26,Calidad,25,5,False,0,,False,N/A,Media,False,0.78,True
119,"Servicio profesional y eficiente. Servicio de 10, gracias!",Positivo,Banco,2025-08-13,Wednesday,Noche,False,4,Chat,Medio,68,Atención,58,8,False,1,30.0,True,N/A,Baja,False,0.96,False
120,Desastre total,Negativo,Restaurante,2025-10-27,Monday,Mañana,False,2,Web,Medio,20,Entrega,14,2,False,0,,False,N/A,Alta,True,0.85,False
121,Ni más ni menos,Neutro,Servicio,2025-06-26,Thursday,Tarde,False,3,Web,Premium,22,Precio,15,4,False,0,,False,N/A,Baja,False,0.66,True
122,Nada del otro mundo,Neutro,Producto,2024-09-29,Sunday,Noche,True,3,Email,Medio,83,Calidad,19,4,False,0,48.0,True,N/A,Baja,False,0.84,False
123,Producto duradero y de calidad. Totalmente satisfecho,Positivo,Banco,2024-03-29,Friday,Tarde,False,4,Web,Premium,1,Calidad,53,7,False,0,,False,N/A,Baja,False,0.76,True
124,Producto regular. Nada especial pero funciona,Neutro,E-commerce,2025-11-02,Sunday,Mañana,True,3,App Móvil,Económico,2,Atención,45,6,False,0,,False,N/A,Baja,False,0.65,True
125,Material de mala calidad,Negativo,E-commerce,2024-06-30,Sunday,Noche,True,2,Email,Económico,11,Calidad,24,4,False,0,,False,N/A,Media,False,0.94,False
126,"Pésimo servicio, no lo recomiendo. No es como se describe",Negativo,Soporte Técnico,2024-12-21,Saturday,Tarde,True,1,Email,Medio,111,Atención,57,10,False,0,31.0,True,Resuelto,Media,False,0.79,True
127,Desastre total,Negativo,Banco,2024-10-17,Thursday,Mañana,False,2,Web,Medio,102,Atención,14,2,False,0,,False,N/A,Media,False,0.82,False
128,Envío súper rápido. Envío súper rápido,Positivo,Delivery,2024-04-29,Monday,Noche,False,4,Chat,Económico,7,Entrega,38,6,False,0,2.0,True,Resuelto,Baja,False,0.8,False
129,"Muy buena atención, gracias",Positivo,Producto,2024-04-07,Sunday,Noche,True,5,Web,Medio,85,Atención,27,4,False,0,,False,N/A,Baja,False,0.89,False
130,"El personal fue muy amable y atento. Me gustó mucho, es justo lo que necesitaba",Positivo,Banco,2024-02-21,Wednesday,Noche,False,5,App Móvil,Económico,53,Atención,79,15,False,0,30.0,True,Resuelto,Baja,False,0.94,False
131,El producto vino incompleto. Entrega tardía y producto defectuoso,Negativo,Hotel,2024-09-09,Monday,Mañana,False,2,Tienda Física,Premium,14,Entrega,65,9,False,0,74.0,True,En Proceso,Alta,True,0.95,False
132,Cumple lo básico,Neutro,Producto,2025-06-05,Thursday,Noche,False,3,Web,Premium,35,Precio,16,3,False,0,17.0,True,N/A,Baja,False,0.63,True
133,"Súper recomendado, volveré sin duda!",Positivo,Soporte Técnico,2024-06-25,Tuesday,Tarde,False,4,App Móvil,Medio,71,Calidad,36,5,False,1,,False,N/A,Baja,False,0.98,False
134,"Quedé impresionado positivamente. Atención personalizada, me encantó",Positivo,Restaurante,2024-01-09,Tuesday,Noche,False,4,App Móvil,Premium,55,Atención,68,7,False,0,28.0,True,N/A,Baja,False,0.86,False
135,Lo recomiendo ampliamente. El mejor servicio que he recibido,Positivo,Hotel,2025-05-06,Tuesday,Noche,False,4,Web,Medio,7,Atención,60,9,False,0,,False,N/A,Baja,False,0.97,False
136,"Es normal, nada extraordinario",Neutro,Hotel,2025-10-08,Wednesday,Noche,False,3,Email,Económico,11,Atención,30,4,False,0,22.0,True,N/A,Baja,False,0.68,True
137,"Maravillosa experiencia. Una joya, muy recomendado",Positivo,Delivery,2025-11-18,Tuesday,Mañana,False,4,Chat,Económico,12,Calidad,50,6,False,0,18.0,True,N/A,Baja,False,0.86,False
138,El servicio fue malísimo,Negativo,E-commerce,2024-02-16,Friday,Tarde,False,2,App Móvil,Premium,24,Atención,24,4,False,0,,False,N/A,Media,False,0.76,True
139,"Excelente compra, totalmente recomendado. La mejor compra que he hecho",Positivo,Hotel,2024-05-29,Wednesday,Tarde,False,5,Teléfono,Premium,60,Atención,70,10,False,0,27.0,True,N/A,Baja,False,0.97,False
140,Quiero mi REEMBOLSO inmediatamente. No sirve para nada!,Negativo,Hotel,2024-01-07,Sunday,Noche,True,1,Tienda Física,Premium,8,Atención,55,8,False,1,13.0,True,En Proceso,Media,False,0.74,True
141,"Servicio regular. Está bien, sin sorpresas",Neutro,Delivery,2025-05-11,Sunday,Mañana,True,3,App Móvil,Medio,9,Atención,42,6,False,0,,False,N/A,Baja,False,0.61,True
142,El equipo de soporte fue increíble,Positivo,Aplicación Móvil,2024-05-30,Thursday,Mañana,False,4,Teléfono,Premium,22,Atención,34,6,False,0,34.0,True,N/A,Baja,False,0.83,False
143,Es un producto medio,Neutro,Soporte Técnico,2025-06-05,Thursday,Noche,False,3,Web,Económico,33,Calidad,20,4,False,0,,False,N/A,Baja,False,0.87,False
